Date,Close,Open,High,Low,Vol.,Change %
"Feb 01, 2012",2265,"2,210.04","2,264.73","2,210.04",26.74M,2.63%
"Feb 02, 2012",2272,"2,271.84","2,278.02","2,255.19",30.50M,0.33%
"Feb 03, 2012",2305,"2,268.53","2,304.58","2,263.61",23.85M,1.43%
"Feb 06, 2012",2288,"2,297.77","2,297.77","2,271.83",20.64M,-0.70%
"Feb 07, 2012",2286,"2,295.18","2,299.80","2,270.46",15.89M,-0.09%
"Feb 08, 2012",2280,"2,286.33","2,295.81","2,279.80",27.89M,-0.26%
"Feb 09, 2012",2271,"2,281.79","2,284.82","2,259.13",31.00M,-0.42%
"Feb 10, 2012",2231,"2,262.53","2,262.63","2,228.42",24.47M,-1.76%
"Feb 13, 2012",2258,"2,246.06","2,260.31","2,246.06",15.24M,1.22%
"Feb 14, 2012",2234,"2,252.33","2,263.40","2,228.97",20.61M,-1.05%
"Feb 15, 2012",2233,"2,243.40","2,258.83","2,229.04",19.70M,-0.08%
"Feb 16, 2012",2258,"2,213.01","2,259.68","2,202.76",22.10M,1.15%
"Feb 17, 2012",2281,"2,278.44","2,288.85","2,274.07",19.43M,1.00%
"Feb 20, 2012",2304,"2,289.12","2,304.33","2,285.39",19.79M,1.03%
"Feb 21, 2012",2287,"2,305.43","2,305.43","2,273.18",14.07M,-0.75%
"Feb 22, 2012",2259,"2,283.09","2,284.63","2,254.59",18.37M,-1.23%
"Feb 23, 2012",2253,"2,252.37","2,271.24","2,243.37",20.56M,-0.26%
"Feb 24, 2012",2262,"2,254.75","2,264.39","2,251.78",21.10M,0.40%
"Feb 27, 2012",2254,"2,254.60","2,258.04","2,233.44",20.69M,-0.37%
"Feb 28, 2012",2266,"2,261.53","2,272.79","2,251.75",18.30M,0.55%
"Feb 29, 2012",2276,"2,272.54","2,289.67","2,270.43",21.25M,0.43%
"Mar 01, 2012",2289,"2,271.97","2,296.91","2,266.34",18.27M,0.56%
"Mar 02, 2012",2296,"2,290.74","2,303.73","2,279.19",22.59M,0.32%
"Mar 05, 2012",2282,"2,288.78","2,290.95","2,268.14",32.04M,-0.59%
"Mar 06, 2012",2210,"2,271.51","2,273.31","2,209.89",26.76M,-3.17%
"Mar 07, 2012",2240,"2,208.34","2,240.17","2,208.34",19.51M,1.36%
"Mar 08, 2012",2270,"2,249.52","2,273.03","2,245.00",30.15M,1.36%
"Mar 09, 2012",2282,"2,278.75","2,295.92","2,268.03",22.60M,0.50%
"Mar 12, 2012",2281,"2,277.31","2,288.29","2,267.82",20.21M,-0.04%
"Mar 13, 2012",2320,"2,297.29","2,326.64","2,292.87",17.28M,1.71%
"Mar 14, 2012",2329,"2,331.43","2,344.58","2,325.42",23.36M,0.36%
"Mar 15, 2012",2344,"2,328.53","2,343.99","2,321.39",23.16M,0.66%
"Mar 16, 2012",2366,"2,348.82","2,368.51","2,344.74",36.80M,0.94%
"Mar 19, 2012",2374,"2,365.35","2,376.50","2,354.13",18.74M,0.35%
"Mar 20, 2012",2352,"2,363.49","2,368.78","2,341.64",16.41M,-0.94%
"Mar 21, 2012",2346,"2,354.80","2,364.23","2,331.68",14.78M,-0.27%
"Mar 22, 2012",2323,"2,345.48","2,345.56","2,317.62",19.45M,-0.95%
"Mar 23, 2012",2338,"2,321.13","2,340.60","2,307.61",17.19M,0.65%
"Mar 26, 2012",2363,"2,342.92","2,368.84","2,325.54",13.53M,1.04%
"Mar 27, 2012",2350,"2,372.64","2,378.99","2,347.21",16.52M,-0.55%
"Mar 28, 2012",2323,"2,340.39","2,353.49","2,322.66",13.23M,-1.14%
"Mar 29, 2012",2296,"2,330.39","2,335.09","2,290.28",21.66M,-1.14%
"Mar 30, 2012",2324,"2,302.71","2,325.55","2,302.49",20.77M,1.20%
"Apr 02, 2012",2355,"2,330.75","2,354.53","2,311.27",18.70M,1.31%
"Apr 03, 2012",2335,"2,354.48","2,365.05","2,334.76",21.11M,-0.84%
"Apr 04, 2012",2262,"2,330.64","2,334.15","2,260.69",27.42M,-3.10%
"Apr 05, 2012",2254,"2,264.19","2,275.19","2,225.77",24.14M,-0.39%
"Apr 10, 2012",2214,"2,231.76","2,250.19","2,213.94",28.46M,-1.77%
"Apr 11, 2012",2234,"2,211.90","2,246.81","2,209.08",22.87M,0.92%
"Apr 12, 2012",2264,"2,243.20","2,268.27","2,223.14",22.00M,1.34%
"Apr 13, 2012",2230,"2,254.40","2,260.76","2,218.59",19.76M,-1.53%
