Date,Close,Open,High,Low,Vol.,Change %
"Feb 01, 2012",4927,"4,887.75","4,947.30","4,887.75",48.18M,0.79%
"Feb 02, 2012",4930,"4,926.51","4,973.29","4,910.93",46.06M,0.06%
"Feb 03, 2012",5004,"4,929.67","5,036.58","4,928.87",56.74M,1.52%
"Feb 06, 2012",4943,"5,004.48","5,042.92","4,872.06",55.36M,-1.24%
"Feb 07, 2012",4960,"4,942.61","4,975.17","4,927.63",7.05M,0.36%
"Feb 08, 2012",5030,"4,960.18","5,037.30","4,960.18",69.28M,1.42%
"Feb 09, 2012",5092,"5,030.37","5,096.16","5,007.48",16.98M,1.23%
"Feb 10, 2012",5049,"5,092.14","5,121.10","5,014.42",39.99M,-0.84%
"Feb 13, 2012",5097,"5,049.43","5,107.06","5,049.43",10.33M,0.93%
"Feb 14, 2012",5071,"5,096.60","5,146.37","5,057.22",18.53M,-0.51%
"Feb 15, 2012",5016,"5,070.63","5,137.85","5,012.29",15.92M,-1.09%
"Feb 16, 2012",5026,"5,015.53","5,041.51","4,917.53",60.12M,0.20%
"Feb 17, 2012",5036,"5,025.53","5,088.82","5,020.72",15.56M,0.20%
"Feb 20, 2012",5104,"5,035.72","5,130.49","5,020.61",20.20M,1.35%
"Feb 21, 2012",5106,"5,103.51","5,158.83","5,049.70",15.53M,0.06%
"Feb 22, 2012",5175,"5,106.48","5,196.85","5,074.66",46.23M,1.34%
"Feb 23, 2012",5219,"5,174.90","5,222.91","5,170.38",42.52M,0.85%
"Feb 24, 2012",5246,"5,218.72","5,247.94","5,198.87",33.29M,0.52%
"Feb 27, 2012",5179,"5,245.90","5,245.90","5,174.68",33.51M,-1.27%
"Feb 28, 2012",5200,"5,179.47","5,217.36","5,169.63",15.77M,0.40%
"Feb 29, 2012",5273,"5,200.27","5,276.46","5,200.27",47.20M,1.40%
"Mar 01, 2012",5323,"5,273.12","5,323.61","5,260.68",60.69M,0.94%
"Mar 02, 2012",5360,"5,322.63","5,394.61","5,316.63",45.51M,0.70%
"Mar 05, 2012",5372,"5,359.68","5,380.94","5,307.23",13.36M,0.22%
"Mar 06, 2012",5346,"5,371.63","5,390.71","5,328.25",45.83M,-0.48%
"Mar 07, 2012",5265,"5,345.88","5,346.68","5,256.40",45.78M,-1.51%
"Mar 08, 2012",5311,"5,264.93","5,360.87","5,264.93",27.16M,0.87%
"Mar 09, 2012",5304,"5,310.70","5,351.79","5,291.51",32.69M,-0.12%
"Mar 12, 2012",5124,"5,304.31","5,305.85","5,123.58",43.69M,-3.41%
"Mar 13, 2012",5151,"5,123.58","5,197.34","5,123.58",25.65M,0.53%
"Mar 14, 2012",5220,"5,150.87","5,259.89","5,150.87",40.69M,1.35%
"Mar 15, 2012",5238,"5,220.48","5,251.63","5,218.94",16.17M,0.34%
"Mar 16, 2012",5265,"5,238.00","5,299.39","5,236.23",36.26M,0.52%
"Mar 19, 2012",5217,"5,265.01","5,281.39","5,190.87",23.05M,-0.90%
"Mar 20, 2012",5192,"5,217.37","5,217.37","5,174.40",12.50M,-0.49%
"Mar 21, 2012",5215,"5,191.90","5,217.36","5,183.86",12.79M,0.45%
"Mar 22, 2012",5176,"5,215.06","5,215.46","5,158.67",8.37M,-0.75%
"Mar 23, 2012",5162,"5,175.83","5,177.13","5,130.88",14.87M,-0.27%
"Mar 26, 2012",5228,"5,161.63","5,245.05","5,161.63",12.41M,1.29%
"Mar 27, 2012",5267,"5,228.17","5,272.92","5,228.17",16.06M,0.74%
"Mar 28, 2012",5278,"5,267.00","5,305.53","5,249.34",13.27M,0.21%
"Mar 29, 2012",5310,"5,278.04","5,333.03","5,265.49",21.31M,0.61%
"Mar 30, 2012",5372,"5,310.15","5,382.56","5,310.15",24.84M,1.17%
"Apr 02, 2012",5368,"5,372.48","5,408.74","5,350.62",9.30M,-0.09%
"Apr 03, 2012",5361,"5,367.91","5,367.91","5,338.55",6.51M,-0.12%
"Apr 04, 2012",5349,"5,361.40","5,361.40","5,323.80",2.23M,-0.23%
"Apr 05, 2012",5330,"5,349.07","5,367.03","5,319.50",10.25M,-0.36%
"Apr 06, 2012",5313,"5,329.57","5,330.69","5,286.90",5.43M,-0.31%
"Apr 09, 2012",5241,"5,313.00","5,313.00","5,213.21",5.60M,-1.36%
"Apr 10, 2012",5209,"5,241.00","5,259.66","5,199.21",10.47M,-0.62%
"Apr 11, 2012",5222,"5,208.59","5,222.01","5,186.77",9.88M,0.26%
"Apr 12, 2012",5241,"5,221.98","5,244.78","5,213.21",10.10M,0.36%
"Apr 13, 2012",5290,"5,240.93","5,291.00","5,224.71",5.07M,0.94%
"Apr 17, 2012",5303,"5,290.08","5,317.55","5,245.45",6.94M,0.25%
"Apr 18, 2012",5302,"5,303.26","5,314.78","5,274.56",7.36M,-0.03%
"Apr 19, 2012",5261,"5,301.75","5,301.75","5,246.16",14.14M,-0.78%
"Apr 20, 2012",5259,"5,260.57","5,260.67","5,244.15",13.00M,-0.03%
"Apr 23, 2012",5222,"5,258.78","5,258.78","5,200.77",16.32M,-0.69%
"Apr 24, 2012",5244,"5,222.37","5,243.86","5,204.86",14.27M,0.41%
"Apr 25, 2012",5283,"5,243.86","5,287.27","5,241.68",4.41M,0.74%
"Apr 26, 2012",5350,"5,282.51","5,359.96","5,256.27",24.93M,1.28%
"Apr 27, 2012",5332,"5,350.28","5,365.79","5,304.44",18.59M,-0.35%
"Apr 30, 2012",5323,"5,331.59","5,350.39","5,297.06",8.18M,-0.17%
"May 02, 2012",5304,"5,322.64","5,391.12","5,304.17",45.62M,-0.35%
"May 03, 2012",5386,"5,304.17","5,385.67","5,290.96",10.02M,1.54%
"May 04, 2012",5371,"5,385.67","5,402.42","5,356.75",6.93M,-0.28%
"May 07, 2012",5348,"5,370.55","5,370.55","5,307.57",17.65M,-0.41%
"May 08, 2012",5373,"5,348.49","5,377.89","5,340.98",13.72M,0.46%
"May 09, 2012",5268,"5,373.21","5,389.61","5,267.87",35.53M,-1.95%
"May 10, 2012",5078,"5,268.22","5,278.26","5,077.57",37.43M,-3.62%
"May 11, 2012",5026,"5,077.57","5,077.57","5,026.07",18.14M,-1.01%
"May 14, 2012",4816,"5,026.19","5,026.19","4,806.77",31.66M,-4.18%
"May 15, 2012",4752,"4,816.10","4,816.10","4,678.65",35.48M,-1.34%
"May 16, 2012",4721,"4,751.52","4,751.52","4,623.34",14.37M,-0.65%
"May 17, 2012",4716,"4,720.80","4,759.05","4,698.58",16.24M,-0.11%
"May 18, 2012",4654,"4,715.69","4,715.69","4,637.73",20.60M,-1.32%
"May 21, 2012",4595,"4,653.51","4,663.37","4,595.13",19.01M,-1.25%
"May 22, 2012",4700,"4,595.31","4,700.49","4,595.31",9.89M,2.29%
"May 23, 2012",4651,"4,700.49","4,700.49","4,648.92",11.60M,-1.05%
"May 24, 2012",4626,"4,651.26","4,662.33","4,601.79",19.23M,-0.55%
"May 25, 2012",4673,"4,625.59","4,700.93","4,619.78",6.31M,1.02%
"May 28, 2012",4639,"4,672.89","4,713.99","4,635.76",4.59M,-0.73%
"May 29, 2012",4668,"4,638.90","4,671.07","4,638.31",6.52M,0.63%
"May 30, 2012",4621,"4,667.96","4,667.96","4,591.72",6.55M,-1.01%
"May 31, 2012",4567,"4,620.79","4,620.89","4,567.37",15.67M,-1.15%
"Jun 01, 2012",4375,"4,567.44","4,567.44","4,375.35",27.51M,-4.21%
"Jun 05, 2012",4304,"4,375.35","4,392.48","4,278.37",17.58M,-1.64%
"Jun 06, 2012",4363,"4,303.57","4,379.51","4,303.57",17.43M,1.37%
"Jun 07, 2012",4432,"4,362.66","4,457.44","4,362.66",12.27M,1.58%
"Jun 08, 2012",4387,"4,431.71","4,431.71","4,371.50",7.33M,-1.00%
"Jun 11, 2012",4464,"4,387.34","4,479.24","4,387.34",22.64M,1.76%
"Jun 12, 2012",4438,"4,464.39","4,464.39","4,419.03",13.88M,-0.58%
"Jun 13, 2012",4443,"4,438.40","4,465.15","4,416.61",14.19M,0.11%
"Jun 14, 2012",4467,"4,443.15","4,467.14","4,414.52",10.43M,0.54%
"Jun 15, 2012",4495,"4,467.14","4,494.51","4,455.20",20.89M,0.61%
"Jun 18, 2012",4549,"4,494.51","4,597.85","4,494.51",19.37M,1.21%
"Jun 19, 2012",4536,"4,548.93","4,548.93","4,451.21",46.36M,-0.29%
"Jun 20, 2012",4541,"4,535.68","4,561.57","4,528.10",14.85M,0.11%
"Jun 21, 2012",4505,"4,540.81","4,547.38","4,488.95",11.71M,-0.79%
"Jun 22, 2012",4473,"4,504.80","4,504.80","4,445.84",22.71M,-0.70%
"Jun 25, 2012",4428,"4,473.48","4,473.48","4,392.05",12.29M,-1.03%
"Jun 26, 2012",4348,"4,427.61","4,427.61","4,346.44",22.89M,-1.79%
"Jun 27, 2012",4387,"4,348.22","4,397.52","4,343.98",3.42M,0.89%
