Date,Close,Open,High,Low,Vol.,Change %
"Feb 01, 2012",12716,"12,632.76","12,784.62","12,632.76",143.50M,0.66%
"Feb 02, 2012",12705,"12,716.54","12,741.89","12,676.05",114.36M,-0.09%
"Feb 03, 2012",12862,"12,705.04","12,869.95","12,704.96",142.84M,1.23%
"Feb 06, 2012",12845,"12,860.72","12,860.79","12,793.43",108.04M,-0.13%
"Feb 07, 2012",12878,"12,844.37","12,903.71","12,782.57",116.15M,0.26%
"Feb 08, 2012",12884,"12,865.79","12,893.64","12,817.69",138.25M,0.04%
"Feb 09, 2012",12890,"12,884.41","12,924.71","12,846.41",157.08M,0.05%
"Feb 10, 2012",12801,"12,889.55","12,889.63","12,743.56",123.62M,-0.69%
"Feb 13, 2012",12874,"12,799.11","12,887.93","12,799.11",112.24M,0.57%
"Feb 14, 2012",12878,"12,871.77","12,878.88","12,786.93",120.05M,0.03%
"Feb 15, 2012",12781,"12,864.65","12,899.47","12,753.62",127.56M,-0.76%
"Feb 16, 2012",12904,"12,779.81","12,914.00","12,779.58",134.45M,0.96%
"Feb 17, 2012",12950,"12,903.33","12,967.92","12,903.25",234.65M,0.35%
"Feb 21, 2012",12966,"12,949.34","13,005.04","12,926.11",164.78M,0.12%
"Feb 22, 2012",12939,"12,966.22","12,977.91","12,914.83",124.20M,-0.21%
"Feb 23, 2012",12985,"12,937.08","12,996.08","12,882.67",120.48M,0.36%
"Feb 24, 2012",12983,"12,981.20","13,013.82","12,950.59",89.44M,-0.01%
"Feb 27, 2012",12982,"12,981.13","13,027.52","12,882.59",143.53M,-0.01%
"Feb 28, 2012",13005,"12,976.74","13,021.51","12,952.82",114.49M,0.18%
"Feb 29, 2012",12952,"13,005.42","13,055.75","12,929.66",182.46M,-0.41%
"Mar 01, 2012",12980,"12,952.29","13,032.67","12,943.06",139.67M,0.22%
"Mar 02, 2012",12978,"12,980.75","12,997.51","12,927.77",93.90M,-0.02%
"Mar 05, 2012",12963,"12,977.34","12,977.34","12,883.91",108.63M,-0.11%
"Mar 06, 2012",12759,"12,958.65","12,958.73","12,734.86",142.33M,-1.57%
"Mar 07, 2012",12837,"12,756.12","12,857.73","12,751.51",175.11M,0.61%
"Mar 08, 2012",12908,"12,835.53","12,937.19","12,835.53",103.53M,0.55%
"Mar 09, 2012",12922,"12,908.62","12,968.79","12,906.43",103.24M,0.11%
"Mar 12, 2012",12960,"12,920.58","12,976.36","12,919.98",100.00M,0.29%
"Mar 13, 2012",13178,"12,953.20","13,180.40","12,953.13",163.13M,1.68%
"Mar 14, 2012",13194,"13,177.15","13,221.27","13,166.25",163.61M,0.12%
"Mar 15, 2012",13253,"13,192.97","13,253.51","13,170.19",161.65M,0.44%
"Mar 16, 2012",13233,"13,253.51","13,289.08","13,231.45",392.62M,-0.15%
"Mar 19, 2012",13239,"13,231.94","13,269.71","13,208.63",147.12M,0.05%
"Mar 20, 2012",13170,"13,238.45","13,238.45","13,123.38",131.66M,-0.52%
"Mar 21, 2012",13125,"13,170.79","13,190.02","13,112.93",124.86M,-0.35%
"Mar 22, 2012",13046,"13,124.40","13,124.47","13,017.42",122.06M,-0.60%
"Mar 23, 2012",13081,"13,045.99","13,099.91","13,002.77",129.93M,0.27%
"Mar 26, 2012",13242,"13,082.62","13,243.86","13,082.39",122.08M,1.23%
