Date,Close,Open,High,Low,Vol.,Change %
"Feb 01, 2012",6070,"5,984.11","6,077.40","5,979.22",55.10M,1.67%
"Feb 02, 2012",6064,"6,083.36","6,085.11","6,038.53",51.60M,-0.09%
"Feb 03, 2012",6153,"6,062.44","6,158.11","6,046.99",55.58M,1.47%
"Feb 06, 2012",6147,"6,126.54","6,150.80","6,103.77",40.33M,-0.10%
"Feb 07, 2012",6158,"6,143.40","6,158.50","6,114.68",51.76M,0.17%
"Feb 08, 2012",6156,"6,176.60","6,190.64","6,155.41",40.07M,-0.03%
"Feb 09, 2012",6170,"6,148.52","6,189.83","6,138.14",51.69M,0.22%
"Feb 10, 2012",6131,"6,152.59","6,159.52","6,101.42",47.28M,-0.63%
"Feb 13, 2012",6177,"6,159.69","6,181.80","6,146.84",31.45M,0.76%
"Feb 14, 2012",6164,"6,156.16","6,186.36","6,144.78",42.61M,-0.22%
"Feb 15, 2012",6198,"6,186.23","6,205.49","6,182.14",41.30M,0.56%
"Feb 16, 2012",6217,"6,156.30","6,219.31","6,150.76",63.24M,0.31%
"Feb 17, 2012",6238,"6,257.77","6,260.65","6,218.62",151.49M,0.33%
"Feb 20, 2012",6243,"6,256.75","6,268.56","6,226.54",36.81M,0.08%
"Feb 21, 2012",6238,"6,245.70","6,247.37","6,208.30",44.40M,-0.08%
"Feb 22, 2012",6192,"6,228.69","6,232.39","6,171.26",45.63M,-0.73%
"Feb 23, 2012",6201,"6,185.93","6,218.46","6,166.91",40.99M,0.14%
"Feb 24, 2012",6184,"6,206.87","6,217.31","6,162.71",40.47M,-0.27%
"Feb 27, 2012",6144,"6,133.23","6,144.06","6,090.04",40.03M,-0.65%
"Feb 28, 2012",6125,"6,151.08","6,169.71","6,101.42",40.35M,-0.31%
"Feb 29, 2012",6110,"6,134.40","6,157.25","6,108.47",44.82M,-0.25%
"Mar 01, 2012",6128,"6,101.20","6,138.59","6,098.13",51.87M,0.30%
"Mar 02, 2012",6149,"6,130.82","6,159.49","6,114.42",44.26M,0.34%
"Mar 05, 2012",6154,"6,143.04","6,169.03","6,120.26",36.03M,0.07%
"Mar 06, 2012",6048,"6,128.75","6,136.61","6,047.10",52.65M,-1.73%
"Mar 07, 2012",6103,"6,043.75","6,104.83","6,041.22",43.78M,0.91%
"Mar 08, 2012",6154,"6,095.02","6,155.76","6,088.89",48.87M,0.84%
"Mar 09, 2012",6189,"6,158.24","6,205.90","6,151.40",43.04M,0.56%
"Mar 12, 2012",6190,"6,164.45","6,210.54","6,161.65",40.22M,0.02%
"Mar 13, 2012",6260,"6,213.66","6,266.70","6,203.94",46.32M,1.13%
